model,cadence_s,first_report_s,trial_idx,max_visits,dt_ms,visits_at_first_packet,error,timestamp
b10c128,0.25,0.022,0,2000000,60.08199700713158,12,,1779000088.1008234
b10c128,0.25,0.1,0,2000000,134.1343910098076,454,,1779000088.4951644
b10c128,0.125,0.1,1,2000000,136.4403419792652,461,,1779000088.8974893
b10c128,0.25,0.012,1,2000000,300.47473496198654,1607,,1779000089.4637449
b10c128,0.25,0.026,1,2000000,87.82829198241234,38,,1779000089.818832
b10c128,0.25,0.03,1,2000000,76.69595897197723,29,,1779000090.157565
b10c128,0.25,0.015,1,2000000,81.19470199942589,1,,1779000090.496546
b10c128,0.125,0.035,1,2000000,75.22459599375725,94,,1779000090.829893
b10c128,0.25,0.15,1,2000000,219.67437902092934,775,,1779000091.307282
b10c128,0.25,0.008,1,2000000,310.77411499619484,1521,,1779000091.8800368
b10c128,0.25,0.1,1,2000000,155.3701350092888,534,,1779000092.2954314
b10c128,0.125,0.023,1,2000000,64.70790901780128,6,,1779000092.6194277
b10c128,0.125,0.005,1,2000000,,,,1779000094.8825872
b10c128,0.25,0.02,1,2000000,351.0475859940052,1687,,1779000095.4935682
b10c128,0.125,0.05,1,2000000,124.48064497113228,190,,1779000095.8797407
b10c128,0.25,0.003,1,2000000,306.5687789916992,1582,,1779000096.458326
b10c128,0.125,0.032,1,2000000,84.63920703530312,58,,1779000096.8013465
b10c128,0.25,0.021,1,2000000,50.412409991025925,1,,1779000097.1115897
b10c128,0.25,0.175,1,2000000,218.79894000291824,1110,,1779000097.5892985
b10c128,0.25,0.028,1,2000000,83.45583802461624,24,,1779000097.9335701
b10c128,0.125,0.03,1,2000000,122.76322197914124,30,,1779000098.31818
b10c128,0.25,0.022,1,2000000,63.3756540119648,19,,1779000098.6454585
b10c128,0.25,0.023,1,2000000,83.86793699860573,23,,1779000098.9918056
b10c128,0.25,0.005,1,2000000,304.5829949975014,1331,,1779000099.5611818
b10c128,0.125,0.003,1,2000000,193.47042301297188,752,,1779000100.0153542
b10c128,0.125,0.115,1,2000000,168.66645801067352,656,,1779000100.4459665
b10c128,0.125,0.025,1,2000000,95.04868200421333,13,,1779000100.8095293
b10c128,0.25,0.2,1,2000000,287.55428498983383,1291,,1779000101.3561995
b10c128,0.25,0.125,1,2000000,197.36530098319054,648,,1779000101.8133671
b10c128,0.125,0.022,1,2000000,52.13477498292923,25,,1779000102.1305628
b10c128,0.25,0.06,1,2000000,123.34864002466202,219,,1779000102.5163102
b10c128,0.125,0.012,1,2000000,163.36371198296547,762,,1779000102.9397652
b10c128,0.125,0.008,1,2000000,164.54838401079178,816,,1779000103.3698432
b10c128,0.25,0.001,1,2000000,339.52990302443504,1437,,1779000103.9745626
b10c128,0.125,0.075,1,2000000,122.62063598632812,320,,1779000104.3596616
b10c128,0.25,0.01,1,2000000,294.3875469863415,1562,,1779000104.912834
b10c128,0.125,0.027,1,2000000,63.15137901902199,46,,1779000105.2372718
