name,n_samples,V_max,best_target,target,status,H,kappa,rel_resid_std,pearson_resid_v,monotonicity_drop,peak_position,y_range,reason
2000-01-06a__turn192,925,15000,L2_joint_drift,visit_entropy_reduction,clean,1.1237993288291166,14397.021714471959,0.06456214336214991,-0.06756474252806856,0.011228408351304231,0.9729437229437229,0.7082792548134216,
2000-01-06a__turn192,925,15000,L2_joint_drift,winrate_drift,clean,0.06202026548901432,176.71896452961587,0.07597314412512121,0.15212693634199465,0.0,0.9989177489177489,0.06390087306499481,
2000-01-06a__turn192,925,15000,L2_joint_drift,scoreLead_drift,clean,15.913411194296785,153239.30600124924,0.05943224622161793,0.16309223563082947,0.0,0.9989177489177489,14.10129165649414,
2000-01-06a__turn192,925,15000,L2_joint_drift,L2_joint_drift,clean,0.0989389586347623,4678.971410746715,0.05497445117015586,0.11265556123931379,0.0,0.9989177489177489,0.5292209833860397,
2000-01-10__turn37,931,15000,winrate_drift,visit_entropy_reduction,clean,0.3109707476679618,337.91883151114655,0.09793921672364735,0.30298960456230284,0.0026492568684753377,0.989247311827957,0.328277127329986,
2000-01-10__turn37,931,15000,winrate_drift,winrate_drift,clean,0.03197803415776826,298.9232466922937,0.06700115018018876,0.04718728503380368,0.0,0.9989247311827957,0.03327074646949768,
2000-01-10__turn37,931,15000,winrate_drift,scoreLead_drift,clean,0.782296107658978,460.4926474420298,0.07921521374504348,0.09683906781310973,0.0,0.9989247311827957,1.1486321687698364,
2000-01-10__turn37,931,15000,winrate_drift,L2_joint_drift,clean,0.04124761173231525,367.7628669429044,0.07262471702706984,0.08044330256651268,0.0,0.9989247311827957,0.05095251277089119,
2000-01-18a__turn89,943,15000,scoreLead_drift,visit_entropy_reduction,degenerate,1.3923884878168835e-12,30.000000000000092,0.09497134346577235,0.6132969769513162,inf,0.0,0.9049145403040233,
2000-01-18a__turn89,943,15000,scoreLead_drift,winrate_drift,clean,0.013524139702504422,104.21263115524842,0.055479537385636296,0.1483804487707366,0.0,0.9989384288747346,0.030201435089111328,
2000-01-18a__turn89,943,15000,scoreLead_drift,scoreLead_drift,clean,0.47524878788402847,193.0405944806797,0.042124527042901275,0.14298520713858606,0.0,0.9989384288747346,0.8712446689605713,
2000-01-18a__turn89,943,15000,scoreLead_drift,L2_joint_drift,clean,0.022242517752213285,158.05048291875903,0.04432994847007444,0.21931191605646808,0.0,0.9989384288747346,0.0445534884929657,
